"Date","AEX_disc_return","Portfolio_disc_return","MSCI_disc_return","Date.y","new_cases_per_million","reproduction_rate","dMonday","dPeriod","AEX_cont_return","Portfolio_cont_return","MSCI_cont_return"
2020-10-01,0.518532043089267,0.829617816067144,0.504290896222246,2020-09-30,196.121,1.33,0,0,0.517192295043591,0.826195403066773,0.503023608441118
2020-10-02,0.468630798852044,2.79142926327381,-0.684859154929575,2020-10-01,191.87,1.33,0,0,0.46753614332028,2.75317906319057,-0.687215077904242
2020-10-05,0.867804454729526,1.36295226685138,1.63443300065591,2020-10-04,234.786,1.39,1,0,0.864060675402665,1.35374761480907,1.62121992268908
2020-10-06,-0.455262403211924,0.461596074043327,-0.638375804510506,2020-10-05,268.501,1.41,0,0,-0.456301878584354,0.460533986480988,-0.640422136356459
2020-10-07,-0.140444380424209,-1.80230856472584,1.04797514350414,2020-10-06,266.463,1.42,0,0,-0.140543095981968,-1.81874797097696,1.04252194965378
2020-10-08,0.962856112513529,1.91839841067341,0.759155027447711,2020-10-07,294.181,1.43,0,0,0.958250195016844,1.90022915313019,0.756287946917175
2020-10-09,1.29120977247561,-1.28660420372853,0.79136566610921,2020-10-08,341.639,1.44,0,0,1.28294472909394,-1.2949526404793,0.788250790600103
2020-10-12,0.906253856868309,-1.00681441400601,1.24187478617858,2020-10-11,372.327,1.42,1,0,0.902172019275014,-1.01191706872714,1.23422677530352
2020-10-13,0.0279568765179853,-1.54491993123183,-0.493359916196391,2020-10-12,398.88,1.41,0,0,0.0279529693114578,-1.55697817388568,-0.494580953960362
2020-10-14,-0.0855940049260239,-0.772728397171495,-0.385438244982527,2020-10-13,433.993,1.39,0,0,-0.0856306575108586,-0.775729412847114,-0.386182972444904
2020-10-15,-2.01230812266163,0.154869739698394,-0.796018204442013,2020-10-14,428.053,1.36,0,0,-2.03283082933758,0.154749940189875,-0.799203343469027
2020-10-16,1.37563116669936,-2.23798749842803,0.190721649484538,2020-10-15,457.518,1.33,0,0,1.36625524867905,-2.26341046313218,0.190540006664757
2020-10-19,-0.510401633285222,2.23055737076893,-0.76829414690196,2020-10-18,479.413,1.26,1,0,-0.511708631612145,2.20604428912636,-0.771260730878561
2020-10-20,-0.226436456269455,0.182927526962812,0.255776575704685,2020-10-19,466.66,1.24,0,0,-0.226693211277612,0.182760418322968,0.255450024131048
2020-10-21,-1.17021276595745,-1.00983776797001,-0.131009636103496,2020-10-20,477.142,1.23,0,0,-1.17711364502111,-1.0149712184802,-0.131095528753884
2020-10-22,-0.57409400789378,-0.925918922861437,0.0983861223785167,2020-10-21,512.197,1.23,0,0,-0.575748261896964,-0.93023219771791,0.0983377549550851
2020-10-23,0.0252616383976879,6.06094174868996,0.343150779417852,2020-10-22,542.127,1.21,0,0,0.0252584481830719,5.88436650770015,0.342563360568766
