"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 10, 2020","600.74","600.27","601.87","596.38","-","0.04%"
"Nov 09, 2020","600.49","592.94","609.87","592.94","-","1.30%"
"Nov 06, 2020","592.76","591.55","593.97","589.55","-","0.23%"
"Nov 05, 2020","591.38","579.07","593.13","579.07","-","2.15%"
"Nov 04, 2020","578.92","568.02","583.29","566.28","-","1.91%"
"Nov 03, 2020","568.09","558.02","570.00","558.02","-","1.84%"
"Nov 02, 2020","557.84","550.92","559.92","550.75","-","1.24%"
"Oct 30, 2020","551.00","557.74","557.88","547.37","-","-1.15%"
"Oct 29, 2020","557.41","554.79","560.74","551.90","-","0.44%"
"Oct 28, 2020","554.99","570.94","571.29","554.68","-","-2.89%"
"Oct 27, 2020","571.53","572.60","573.50","571.09","-","-0.27%"
"Oct 26, 2020","573.07","581.84","582.23","569.08","-","-1.52%"
"Oct 23, 2020","581.91","579.84","582.39","579.22","-","0.34%"
"Oct 22, 2020","579.92","579.02","580.43","575.32","-","0.10%"
"Oct 21, 2020","579.35","580.12","583.11","579.01","-","-0.13%"
"Oct 20, 2020","580.11","578.18","583.66","577.60","-","0.26%"
"Oct 19, 2020","578.63","583.44","586.60","577.65","-","-0.77%"
"Oct 16, 2020","583.11","582.02","586.90","581.46","-","0.19%"
"Oct 15, 2020","582.00","586.34","586.45","577.39","-","-0.80%"
"Oct 14, 2020","586.67","588.56","590.95","585.55","-","-0.39%"
"Oct 13, 2020","588.94","591.81","592.17","587.63","-","-0.49%"
"Oct 12, 2020","591.86","584.80","593.40","584.53","-","1.24%"
"Oct 09, 2020","584.60","580.24","585.32","580.04","-","0.79%"
"Oct 08, 2020","580.01","575.94","580.20","575.83","-","0.76%"
"Oct 07, 2020","575.64","568.78","576.47","568.43","-","1.05%"
"Oct 06, 2020","569.67","573.40","576.77","568.33","-","-0.64%"
"Oct 05, 2020","573.33","564.12","573.38","564.11","-","1.63%"
"Oct 02, 2020","564.11","568.22","568.50","560.78","-","-0.68%"
"Oct 01, 2020","568.00","565.62","569.57","565.62","-","0.50%"
"Sep 30, 2020","565.15","562.98","568.32","561.11","-","0.44%"
"Sep 29, 2020","562.70","564.50","565.35","561.89","-","-0.26%"
"Sep 28, 2020","564.18","555.42","565.43","555.38","-","1.62%"
"Sep 25, 2020","555.21","550.27","556.11","547.06","-","1.03%"
"Sep 24, 2020","549.57","551.35","553.62","545.24","-","-0.43%"
"Sep 23, 2020","551.97","560.20","562.09","551.16","-","-1.47%"
"Sep 22, 2020","560.21","557.86","560.74","555.45","-","0.43%"
"Sep 21, 2020","557.79","566.62","567.19","551.31","-","-1.63%"
"Sep 18, 2020","567.02","570.70","571.51","563.81","-","-0.55%"
"Sep 17, 2020","570.16","574.59","574.59","566.81","-","-0.84%"
"Sep 16, 2020","574.99","575.57","579.63","574.47","-","-0.11%"
"Sep 15, 2020","575.64","572.43","577.93","572.13","-","0.52%"
"Sep 14, 2020","572.68","566.26","574.42","566.26","-","1.19%"
"Sep 11, 2020","565.96","564.82","569.23","562.61","-","0.09%"
"Sep 10, 2020","565.47","571.31","575.49","563.84","-","-0.96%"
"Sep 09, 2020","570.93","561.98","573.56","560.81","-","1.44%"
"Sep 08, 2020","562.81","574.53","575.18","562.35","-","-2.03%"
"Sep 07, 2020","574.49","573.34","574.65","572.74","-","0.25%"
"Sep 04, 2020","573.04","578.64","580.36","563.60","-","-1.05%"
"Sep 03, 2020","579.12","594.50","595.24","576.32","-","-2.51%"
"Sep 02, 2020","594.06","588.34","594.77","587.93","-","0.94%"
"Sep 01, 2020","588.52","584.54","588.52","584.20","-","0.63%"
"Aug 31, 2020","584.86","587.02","587.77","583.84","-","-0.27%"
"Aug 28, 2020","586.44","583.51","586.75","583.20","-","0.55%"
"Aug 27, 2020","583.21","584.39","585.48","581.33","-","-0.14%"
"Aug 26, 2020","584.03","579.08","584.30","578.38","-","0.89%"
"Aug 25, 2020","578.89","577.39","579.24","576.99","-","0.29%"
