"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15, 2021","22.80","22.20","23.00","22.00","30.01K","2.70%"
"Feb 12, 2021","22.20","22.25","22.60","22.05","25.63K","-0.22%"
"Feb 11, 2021","22.25","21.50","22.25","21.15","39.63K","3.49%"
"Feb 10, 2021","21.50","21.80","22.00","21.40","26.96K","-1.83%"
"Feb 09, 2021","21.90","22.20","22.20","21.75","21.36K","-0.90%"
"Feb 08, 2021","22.10","22.20","22.20","22.00","12.01K","-0.45%"
"Feb 05, 2021","22.20","22.20","22.20","22.00","7.92K","0.00%"
"Feb 04, 2021","22.20","22.25","22.25","21.85","19.04K","0.23%"
"Feb 03, 2021","22.15","23.20","23.20","21.80","40.64K","-3.70%"
"Feb 02, 2021","23.00","23.25","23.25","22.95","10.95K","0.00%"
"Feb 01, 2021","23.00","23.35","23.35","23.00","8.96K","-1.50%"
"Jan 29, 2021","23.35","23.00","23.35","22.85","15.92K","1.08%"
"Jan 28, 2021","23.10","22.75","23.10","22.50","20.81K","0.65%"
"Jan 27, 2021","22.95","22.55","23.45","22.45","23.82K","1.77%"
"Jan 26, 2021","22.55","22.05","22.55","21.90","10.35K","2.27%"
"Jan 25, 2021","22.05","22.65","22.65","21.85","12.03K","-2.65%"
"Jan 22, 2021","22.65","22.50","22.65","22.40","10.65K","0.00%"
"Jan 21, 2021","22.65","23.40","23.40","22.65","14.28K","-2.37%"
"Jan 20, 2021","23.20","23.20","23.40","23.05","13.20K","-0.22%"
"Jan 19, 2021","23.25","23.45","23.45","23.10","10.68K","-0.64%"
"Jan 18, 2021","23.40","23.25","23.40","23.00","14.52K","0.21%"
"Jan 15, 2021","23.35","23.65","23.65","23.15","9.40K","-1.27%"
"Jan 14, 2021","23.65","23.00","23.65","22.95","18.37K","2.60%"
"Jan 13, 2021","23.05","23.20","23.30","23.00","14.54K","-1.07%"
"Jan 12, 2021","23.30","23.45","23.50","23.00","21.49K","-0.21%"
"Jan 11, 2021","23.35","23.40","23.50","23.20","9.17K","-0.64%"
"Jan 08, 2021","23.50","23.75","23.80","23.40","16.32K","-0.21%"
"Jan 07, 2021","23.55","23.60","23.70","23.40","21.36K","0.00%"
"Jan 06, 2021","23.55","23.55","23.80","23.40","10.15K","-0.84%"
"Jan 05, 2021","23.75","23.35","23.90","23.20","14.64K","0.64%"
"Jan 04, 2021","23.60","23.25","23.85","23.25","17.37K","1.94%"
"Dec 31, 2020","23.15","23.45","23.45","23.15","5.49K","-1.49%"
"Dec 30, 2020","23.50","23.65","23.65","23.20","8.00K","0.00%"
"Dec 29, 2020","23.50","23.30","23.75","23.30","14.39K","1.08%"
"Dec 28, 2020","23.25","23.30","23.75","23.25","7.10K","-0.64%"
"Dec 24, 2020","23.40","22.95","23.40","22.95","10.56K","1.74%"
"Dec 23, 2020","23.00","22.75","23.00","22.70","9.36K","2.00%"
"Dec 22, 2020","22.55","22.50","23.00","22.50","17.30K","0.00%"
"Dec 21, 2020","22.55","22.35","22.55","21.55","40.35K","-1.10%"
"Dec 18, 2020","22.80","23.85","23.85","22.80","23.08K","-3.59%"
"Dec 17, 2020","23.65","23.40","23.70","23.25","17.10K","1.72%"
"Dec 16, 2020","23.25","22.95","23.50","22.95","10.79K","1.31%"
