"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2021","34.30","34.70","34.70","34.10","18.29K","-0.58%"
"Jun 15, 2021","34.50","34.80","34.80","34.50","14.90K","-0.29%"
"Jun 14, 2021","34.60","34.85","35.05","34.60","24.17K","-0.72%"
"Jun 11, 2021","34.85","34.70","35.00","34.65","15.55K","-0.29%"
"Jun 10, 2021","34.95","35.15","35.45","34.75","23.66K","-0.43%"
"Jun 09, 2021","35.10","35.40","35.40","34.80","38.93K","-0.71%"
"Jun 08, 2021","35.35","35.50","35.50","35.20","7.41K","0.14%"
"Jun 07, 2021","35.30","35.00","35.35","35.00","6.26K","0.14%"
"Jun 04, 2021","35.25","34.65","35.50","34.60","37.64K","1.59%"
"Jun 03, 2021","34.70","34.75","34.75","34.55","16.54K","-0.14%"
"Jun 02, 2021","34.75","34.45","34.75","34.30","20.34K","1.46%"
"Jun 01, 2021","34.25","34.40","34.40","34.10","6.84K","0.15%"
"May 31, 2021","34.20","33.60","34.35","33.60","3.58K","1.03%"
"May 28, 2021","33.85","33.40","33.85","33.30","34.46K","1.04%"
"May 27, 2021","33.50","34.15","34.15","33.50","33.73K","-2.05%"
"May 26, 2021","34.20","34.40","34.45","34.00","10.39K","-0.73%"
"May 25, 2021","34.45","34.30","34.50","33.85","17.40K","0.00%"
"May 24, 2021","34.45","34.35","34.45","33.95","5.33K","1.03%"
"May 21, 2021","34.10","34.10","34.30","33.90","9.66K","0.00%"
"May 20, 2021","34.10","34.40","34.50","34.10","9.66K","-1.16%"
"May 19, 2021","34.50","34.30","34.50","34.30","16.37K","0.00%"
"May 18, 2021","34.50","34.30","34.55","34.00","15.46K","0.73%"
"May 17, 2021","34.25","33.60","35.10","33.60","25.47K","1.18%"
"May 14, 2021","33.85","33.90","33.95","33.55","15.28K","0.74%"
"May 13, 2021","33.60","33.75","33.80","32.95","17.19K","0.45%"
"May 12, 2021","33.45","33.60","33.70","33.45","10.94K","-0.89%"
"May 11, 2021","33.75","34.50","34.50","33.60","15.17K","-2.17%"
"May 10, 2021","34.50","33.35","34.50","33.10","20.29K","4.55%"
"May 07, 2021","33.00","33.10","33.25","33.00","21.37K","-0.30%"
"May 06, 2021","33.10","33.20","33.45","32.85","17.78K","0.00%"
"May 05, 2021","33.10","33.45","33.60","33.10","17.58K","-0.75%"
"May 04, 2021","33.35","34.00","34.30","33.35","30.28K","-1.48%"
"May 03, 2021","33.85","33.75","33.90","33.50","10.19K","0.15%"
"Apr 30, 2021","33.80","34.00","34.55","33.75","28.40K","-2.03%"
"Apr 29, 2021","34.50","34.20","34.60","34.20","12.09K","1.17%"
"Apr 28, 2021","34.10","34.00","34.10","33.95","8.16K","0.29%"
"Apr 27, 2021","34.00","34.30","34.35","33.75","12.57K","-0.73%"
"Apr 26, 2021","34.25","34.30","34.45","33.85","23.11K","0.00%"
"Apr 23, 2021","34.25","35.00","35.10","34.00","41.28K","-4.86%"
"Apr 22, 2021","36.00","36.00","36.15","35.65","22.90K","0.84%"
"Apr 21, 2021","35.70","36.35","36.50","35.55","12.42K","-1.52%"
"Apr 20, 2021","36.25","36.00","36.25","35.80","25.34K","0.83%"
"Apr 19, 2021","35.95","34.70","36.00","34.70","32.91K","3.30%"
"Apr 16, 2021","34.80","34.50","35.35","34.50","34.84K","0.87%"
"Apr 15, 2021","34.50","34.25","34.65","34.00","24.55K","-0.29%"
"Apr 14, 2021","34.60","34.25","35.00","34.05","39.60K","1.76%"
"Apr 13, 2021","34.00","34.00","34.10","33.55","16.35K","1.19%"
"Apr 12, 2021","33.60","34.25","34.25","33.55","25.79K","-0.59%"
"Apr 09, 2021","33.80","34.05","34.20","33.75","18.39K","-0.73%"
"Apr 08, 2021","34.05","34.35","34.35","34.00","9.66K","-0.87%"
"Apr 07, 2021","34.35","34.20","34.70","34.20","16.47K","0.29%"
"Apr 06, 2021","34.25","33.80","34.60","33.80","19.93K","0.29%"
"Apr 01, 2021","34.15","34.40","34.40","33.80","20.06K","1.04%"
"Mar 31, 2021","33.80","33.75","34.05","33.40","22.78K","0.15%"
"Mar 30, 2021","33.75","33.35","33.75","33.35","27.69K","0.60%"
"Mar 29, 2021","33.55","34.00","34.45","33.40","19.18K","-1.76%"
"Mar 26, 2021","34.15","33.95","34.70","33.95","18.26K","-0.58%"
"Mar 25, 2021","34.35","34.65","34.90","33.50","20.11K","-1.43%"
"Mar 24, 2021","34.85","34.70","35.10","34.30","27.47K","0.87%"
"Mar 23, 2021","34.55","34.05","34.95","33.70","21.77K","1.47%"
"Mar 22, 2021","34.05","34.40","35.20","33.80","16.58K","-0.87%"
"Mar 19, 2021","34.35","34.30","34.75","34.20","65.70K","-0.29%"
"Mar 18, 2021","34.45","34.25","34.60","34.25","16.75K","0.73%"
"Mar 17, 2021","34.20","34.10","34.40","33.95","23.41K","0.88%"
"Mar 16, 2021","33.90","33.80","34.40","33.80","17.43K","0.30%"
"Mar 15, 2021","33.80","33.45","34.10","33.45","23.53K","0.30%"
"Mar 12, 2021","33.70","33.60","33.80","33.30","20.45K","-0.44%"
