"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15, 2021","685.18","680.43","686.98","679.08","119.79M","1.23%"
"Feb 12, 2021","676.83","665.16","677.24","665.16","135.59M","1.88%"
"Feb 11, 2021","664.34","659.88","664.34","658.19","110.87M","1.08%"
"Feb 10, 2021","657.23","660.50","663.23","654.49","103.81M","0.02%"
"Feb 09, 2021","657.07","657.54","657.98","653.87","76.15M","0.10%"
"Feb 08, 2021","656.39","657.73","658.25","654.38","82.36M","0.48%"
"Feb 05, 2021","653.24","657.70","657.70","652.26","84.30M","-0.17%"
"Feb 04, 2021","654.38","652.53","655.80","651.61","92.76M","-0.08%"
"Feb 03, 2021","654.89","658.22","659.16","651.49","83.81M","0.31%"
"Feb 02, 2021","652.87","651.34","654.58","650.88","93.41M","0.85%"
"Feb 01, 2021","647.34","642.66","648.88","642.22","81.31M","1.61%"
"Jan 29, 2021","637.11","641.33","644.94","637.11","102.13M","-1.83%"
"Jan 28, 2021","649.00","639.55","650.12","633.68","109.86M","0.17%"
"Jan 27, 2021","647.92","654.34","656.36","642.09","136.07M","-1.61%"
"Jan 26, 2021","658.54","656.58","662.47","656.07","86.09M","0.05%"
"Jan 25, 2021","658.24","666.94","667.85","655.16","96.53M","-0.35%"
"Jan 22, 2021","660.53","660.15","660.89","655.90","72.28M","-0.50%"
"Jan 21, 2021","663.88","663.46","666.66","662.48","68.76M","0.69%"
"Jan 20, 2021","659.30","655.66","661.09","654.54","69.07M","1.23%"
"Jan 19, 2021","651.28","654.55","654.55","649.13","77.67M","0.15%"
"Jan 18, 2021","650.30","648.85","651.61","648.83","62.06M","-0.22%"
"Jan 15, 2021","651.73","654.39","655.24","647.54","113.44M","-0.75%"
"Jan 14, 2021","656.66","650.37","656.66","649.14","87.98M","1.91%"
"Jan 13, 2021","644.38","644.24","645.42","641.44","87.58M","0.12%"
"Jan 12, 2021","643.58","645.95","646.06","641.43","88.75M","0.18%"
"Jan 11, 2021","642.42","645.16","646.92","639.52","85.51M","-0.49%"
"Jan 08, 2021","645.60","643.04","645.60","642.20","102.33M","1.28%"
"Jan 07, 2021","637.41","641.28","642.39","635.96","108.94M","-0.27%"
"Jan 06, 2021","639.16","636.57","641.25","631.40","142.64M","0.87%"
"Jan 05, 2021","633.62","629.94","634.11","628.98","102.30M","0.41%"
"Jan 04, 2021","631.03","632.02","636.24","629.41","93.09M","1.03%"
"Dec 31, 2020","624.61","625.19","628.05","623.94","25.28M","-0.55%"
"Dec 30, 2020","628.06","630.11","631.05","627.59","44.56M","-0.17%"
"Dec 29, 2020","629.14","629.17","633.12","628.40","55.32M","0.25%"
"Dec 28, 2020","627.59","627.54","630.03","626.88","54.84M","0.19%"
"Dec 24, 2020","626.37","623.92","626.46","623.62","23.81M","0.63%"
"Dec 23, 2020","622.42","618.46","623.64","618.45","67.60M","0.80%"
"Dec 22, 2020","617.50","611.87","618.86","611.83","66.06M","1.33%"
"Dec 21, 2020","609.39","615.64","617.31","602.64","141.96M","-2.54%"
"Dec 18, 2020","625.25","623.69","628.89","623.17","189.63M","0.08%"
"Dec 17, 2020","624.75","625.36","626.47","624.35","96.46M","0.46%"
"Dec 16, 2020","621.86","620.99","623.61","618.11","113.48M","0.73%"
"Dec 15, 2020","617.34","612.22","618.59","611.53","102.00M","0.73%"
"Dec 14, 2020","612.88","617.99","619.56","612.88","91.62M","-0.26%"
"Dec 11, 2020","614.46","616.92","618.02","611.46","114.41M","-0.59%"
"Dec 10, 2020","618.10","619.39","621.62","614.09","113.76M","-0.26%"
"Dec 09, 2020","619.72","619.33","622.01","617.94","90.97M","0.51%"
"Dec 08, 2020","616.59","615.37","618.36","613.75","80.30M","0.06%"
"Dec 07, 2020","616.20","615.78","616.35","611.78","78.64M","0.09%"
"Dec 04, 2020","615.67","611.53","615.67","610.07","99.39M","0.85%"
"Dec 03, 2020","610.48","612.43","613.26","608.39","89.30M","-0.08%"
"Dec 02, 2020","610.94","608.76","612.32","607.73","99.27M","-0.08%"
"Dec 01, 2020","611.41","609.00","613.41","607.30","108.11M","0.89%"
